name,radius,mass,ExoRM,Forecaster,ExoRM res,Forecaster res
TOI-4603 b,1.0674,3.6124,2.6583,1.9693,0.95419,1.6431
WASP-101 b,1.2049,2.2098,2.5715,4.6026,0.36174,2.3928
TOI-1753 b,0.39419,1.2201,1.1198,0.8263,0.10035,0.3938
WASP-103 b,1.266,2.6695,2.6132,4.672,0.056287,2.0024
WASP-163 b,1.1295,2.774,2.6319,2.0747,0.14212,0.69938
WASP-162 b,1.0496,3.2182,2.5933,1.939,0.62485,1.2792
WASP-161 b,1.1076,2.8984,2.6842,2.0375,0.21421,0.86085
WASP-159 b,1.1894,2.2426,2.5672,4.5851,0.32466,2.3425
WASP-158 b,1.079,2.9478,2.6831,1.9889,0.26474,0.95892
WASP-157 b,1.0769,2.2611,2.6797,1.9854,0.41857,0.27568
WASP-156 b,0.75714,1.6094,1.4955,1.4425,0.11395,0.1669
WASP-155 b,1.1287,2.4422,2.6337,2.0734,0.1915,0.36879
WASP-154 b,1.0318,2.2988,2.5024,1.9089,0.20365,0.38988
WASP-153 b,1.2399,2.0933,2.5906,4.6423,0.4973,2.5491
WASP-151 b,1.1026,1.9936,2.6903,2.0291,0.69676,0.035553
WASP-150 b,1.079,3.4296,2.6831,1.9889,0.74651,1.4407
WASP-149 b,1.1831,2.4983,2.5664,4.5779,0.06811,2.0796
WASP-148 b,0.9069,1.9646,1.8093,1.6968,0.15528,0.26782
WASP-147 b,1.0968,1.9415,2.6941,2.0193,0.75258,0.077728
WASP-164 b,1.1019,2.8306,2.691,2.0278,0.13954,0.80277
WASP-102 b,1.1734,2.296,2.5684,4.5669,0.27241,2.2709
WASP-165 b,1.1499,2.3204,2.5913,2.1094,0.27084,0.21102
WASP-167 b,1.2482,3.4053,2.597,4.6518,0.80828,1.2465
WASP-185 b,1.1465,2.4934,2.5968,2.1035,0.10335,0.38989
WASP-184 b,1.1734,2.2581,2.5684,4.5669,0.31033,2.3088
WASP-183 b,1.2169,2.2029,2.5766,4.6162,0.37366,2.4133
WASP-182 b,0.97899,1.6725,2.15,1.8192,0.47753,0.1467
WASP-181 b,1.1229,1.9779,2.649,2.0635,0.67116,0.085663
WASP-178 b,1.3072,2.7223,2.6638,4.7188,0.058515,1.9965
WASP-177 b,1.2482,2.2081,2.597,4.6518,0.38895,2.4437
TOI-1751 b,0.44248,1.1614,1.1633,0.90828,0.0019448,0.25308
WASP-175 b,1.1316,2.4978,2.6267,2.0783,0.12888,0.4195
WASP-174 b,1.207,2.0207,2.5723,4.605,0.55158,2.5843
WASP-172 b,1.2455,2.1743,2.5948,4.6487,0.4205,2.4744
WASP-171 b,1.0408,2.5372,2.5515,1.9241,0.0143,0.61313
WASP-170 b,1.0894,2.7063,2.6936,2.0066,0.012699,0.69973
WASP-169 b,1.1648,2.2512,2.5738,4.5571,0.32264,2.306
WASP-168 b,1.2257,2.1254,2.5812,4.6262,0.45579,2.5007
WASP-166 b,0.84891,1.5065,1.6571,1.5983,0.15062,0.091799
WASP-142 b,1.2343,2.4265,2.5866,4.6359,0.16013,2.2095
WASP-144 b,0.97899,2.1456,2.15,1.8192,0.0043421,0.32649
WASP-140 b,1.2079,2.8896,2.5726,4.606,0.31695,1.7165
WASP-104 b,1.1053,2.6067,2.6873,2.0337,0.08066,0.57298
WASP-105 b,1.0318,2.7575,2.5024,1.9089,0.25505,0.84857
WASP-106 b,1.0582,2.7117,2.6283,1.9536,0.083419,0.75812
WASP-107 b,1.0264,1.5814,2.4693,1.8996,0.8879,0.31824
WASP-110 b,1.1423,2.2098,2.6042,2.0964,0.39443,0.11335
WASP-113 b,1.1985,2.1789,2.5694,4.5953,0.39052,2.4164
WASP-114 b,1.1763,2.7499,2.5673,4.5702,0.18259,1.8203
WASP-116 b,1.1359,2.3084,2.617,2.0856,0.30864,0.22276
WASP-117 b,1.0586,1.9433,2.6299,1.9543,0.6866,0.011056
WASP-118 b,1.2079,2.2132,2.5726,4.606,0.35948,2.3929
WASP-141 b,1.1324,2.9319,2.625,2.0795,0.30692,0.8524
