pl_name,pl_bmasse,pl_rade,pl_pubdate,pl_controv_flag,pl_bmasseerr1,pl_bmasseerr2,pl_radeerr1,pl_radeerr2,soltype,disc_refname,pl_refname
Kepler-432 b,182.75225,12.834305,2017-06,0,7.94575,-7.31009,0.403524,-0.437151,Published Confirmed,<a refstr=CICERI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...573L...5C/abstract target=ref>Ciceri et al. 2015</a>,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
HD 221416 b,60.5,9.17,2019-06,0,5.7,-5.7,0.34,-0.31,Published Confirmed,<a refstr=HUBER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..245H/abstract target=ref>Huber et al. 2019</a>,<a refstr=HUBER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..245H/abstract target=ref>Huber et al. 2019</a>
K2-99 b,308.2951,14.45961,2017-01,0,28.6047,-28.6047,0.56045,-0.56045,Published Confirmed,<a refstr=SMITH_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.464.2708S/abstract target=ref>Smith et al. 2017</a>,<a refstr=SMITH_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.464.2708S/abstract target=ref>Smith et al. 2017</a>
Kepler-34 b,69.92,8.564,2012-01,0,3.496,-3.178,0.135,-0.157,Published Confirmed,<a refstr=WELSH_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Natur.481..475W/abstract target=ref> Welsh et al. 2012 </a>,<a refstr=WELSH_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Natur.481..475W/abstract target=ref> Welsh et al. 2012 </a>
HIP 97166 b,19.1,2.4801338,2024-06,0,1.6,-1.5,0.07271432,-0.05203142,Published Confirmed,<a refstr=MACDOUGALL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..265M/abstract target=ref>MacDougall et al. 2021</a>,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>
KELT-24 b,1646.3594,14.257848,2019-11,0,66.7443,-69.9226,0.235389,-0.235389,Published Confirmed,<a refstr=RODRIGUEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..197R/abstract target=ref>Rodriguez et al. 2019</a>,<a refstr=RODRIGUEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..197R/abstract target=ref>Rodriguez et al. 2019</a>
HATS-36 b,1022.14128,13.843115,2018-03,0,19.70546,-19.70546,0.481987,-0.481987,Published Confirmed,<a refstr=BAYLISS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..119B/abstract target=ref>Bayliss et al. 2018</a>,<a refstr=BAYLISS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..119B/abstract target=ref>Bayliss et al. 2018</a>
HATS-11 b,263.7989,16.667783,2018-03,0,31.783,-31.783,0.347479,-0.347479,Published Confirmed,<a refstr=RABUS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...88R/abstract target=ref>Rabus et al. 2016</a>,<a refstr=BAYLISS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..119B/abstract target=ref>Bayliss et al. 2018</a>
55 Cnc e,7.99,1.875,2018-10,0,0.32,-0.33,0.029,-0.029,Published Confirmed,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>
HD 80606 b,1308.18828,11.242627,2017-06,0,30.82951,-31.783,0.257807,-0.257807,Published Confirmed,<a refstr=NAEF_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001A&A...375L..27N/abstract target=ref> Naef et al. 2001 </a>,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
HAT-P-54 b,241.5508,10.581296,2015-04,0,10.17056,-10.17056,0.313852,-0.313852,Published Confirmed,<a refstr=BAKOS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149..149B/abstract target=ref>Bakos et al. 2015</a>,<a refstr=BAKOS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149..149B/abstract target=ref>Bakos et al. 2015</a>
HD 80606 b,1307.55262,11.242627,2011-11,0,49.26365,-49.26365,0.302643,-0.302643,Published Confirmed,<a refstr=NAEF_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001A&A...375L..27N/abstract target=ref> Naef et al. 2001 </a>,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>
HIP 97166 b,20.0,2.74,2021-12,0,1.5,-1.5,0.13,-0.13,Published Confirmed,<a refstr=MACDOUGALL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..265M/abstract target=ref>MacDougall et al. 2021</a>,<a refstr=MACDOUGALL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..265M/abstract target=ref>MacDougall et al. 2021</a>
HD 260655 b,2.14,1.24,2022-04,0,0.34,-0.34,0.023,-0.023,Published Confirmed,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>
GJ 9827 b,4.28,1.44,2024-01,0,0.35,-0.33,0.09,-0.07,Published Confirmed,<a refstr=NIRAULA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..266N/abstract target=ref>Niraula et al. 2017</a>,<a refstr=PASSEGGER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240106276P/abstract target=ref>Passegger et al. 2024</a>
Qatar-1 b,346.42,13.047,2011-10,0,26.697,-25.743,0.504,-0.504,Published Confirmed,<a refstr=ALSUBAI_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1012.3027A/abstract target=ref> Alsubai et al. 2011 </a>,<a refstr=ALSUBAI_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1012.3027A/abstract target=ref> Alsubai et al. 2011 </a>
