radius,mass
12.44199,9534.9
2.004,3.55
1.979,3.8
2.001,7.1
13.0,2000.0
13.0,3000.0
13.0,3000.0
13.11453,3178.3
3.84,27.0
3.88,21.8
3.59,30.0
16.14096,266.9772
5.28,59.4
2.592,15.9
1.82,5.58
10.42437,410.0007
10.558878,587.9855
12.498035,266.9772
2.44,5.2
1.69,7.9
14.5717,155.7367
1.014,4.3
3.0,18.1
1.565,3.0
0.89,158.915
1.51,3.1
2.299,6.31
2.39,7.92
3.39,12.97
2.904,1.63
3.013,4.32
9.056872,123.00021
12.273855,323.86877
1.51,5.08
7.0,8.0
2.05,5.77
2.59,7.1
2.3,6.5
2.37,8.92
2.46597575,11.41003981
2.71257333,20.97667486
7.0,32.4
4.51,15.9
1.11,10.0
1.73,6.9
2.85,12.4
1.75,8.0
2.5,444.962
2.35,8.7
1.197,2.49
2.12,21.3
11.209,126.49634
1.343,11.26
1.281,12.81
2.358,21.14
18.405178,392.83788
14.5717,273.3338
5.68,21.0
7.82,26.0
3.44,24.5
17.396368,451.3186
9.52763359,59.75174052
2.41,14.9
1.71,6.54
3.3,11.26782377
0.705,0.29013072
2.93,8.9
2.73,14.3
4.45,29.1
7.5,37.1
2.59,9.68
3.53,15.68
2.48,6.5
1.95,10.7
9.33708092,101.70509024
11.209,194.82979
3.06,10.9
11.276254,246.00042
1.589,6.49
2.63,24.5
10.054473,106.47305
2.25,6.47
1.72,4.2
1.458,2.2
13.405964,198.00809
11.88154,563.83042
5.13,16.5
3.01,12.1
3.75,35.0
1.212,2.1
8.675766,82.6358
5.04,1175.971
15.13215,559.3808
1.43,4.3
3.2,7.9
1.54,7.3
2.29,8.3
5.71,39.8
1.015,7.5
2.66,1652.7077164
3.31,699.2224954
10.55,196.0
7.655747,135.39558
2.49,21.3
2.3,603.877
4.09,9.2
13.45077684,174.48779544
5.06645928,34.00763955
11.88151954,276.51071409
12.442,8654.15
15.681391,215.80657
15.35633,61.97685
19.95202,301.9385
19.537287,408.09372
16.174587,289.2253
15.860735,874.0325
17.093725,416.3573
17.59813,375.0394
21.40919,1293.5681
14.4147,483.717
20.51247,5403.11
17.777474,1242.7153
14.829507,298.12454
14.257848,1646.3594
15.076,469.415
19.044091,286.68266
14.5717,165.2716
17.183397,406.8224
18.15858,209.7678
21.196219,915.3504
13.78707,349.613
10.54,460.83
16.948008,2949.4624
3.78,8.7
1.9,4.6
1.9,9.0
8.86,71.0
5.44,15.0
1.13,2.23
2.58,11.02
0.61,8.0
2.80224517,7310.053361
1.19,9.2
1.21,10.36
7.718,22.70577859
11.32109,381.396
11.09691,613.4119
0.51,99.2
1.638,5.75695361
4.32,15.6
10.1,58.4
6.116,8.09386174
11.54527,346.4347
1.47,3.33
2.35,17.2
1.344,5.44491567
2.34,4.00223465
1.536,1.773084
5.77,51.1
1.25,3.78
0.47,4.3
0.58,3.0
1.18,3.8
2.17,4.7
0.88,5.2
3.257,13.90206827
5.45,38.0
2.38,9.94542981
2.36,7.14430805
2.635,5.54022107
5.52,5.1
1.6,3.6
0.82,5.3
2.5,10.44
0.95,8.1
2.621,6.59062512
1.536,3.8
1.597,9.39
0.86,3.8
2.903,8.6
2.329,4.5540591
2.65,8.2
1.71,4.3
3.051,11.14626911
2.97,6.7
4.52,8.4
2.37,2.5
3.66,300.0
7.0840758,222.4798849
1.82,11.7
2.662,1.05528989
1.02,6.8
1.6,2.8
2.53,3.9
8.059,29.875
12.341,584.78
19.660586,137.30256
2.31,8.5
2.02,27.7
1.75,36.0
2.55,55.3
1.579,4.11726105
1.608,1.27942148
2.538,54.59018723
1.13,42.7
1.13,33.3
2.291,10.22227997
2.396,25.31373539
2.064,6.85501121
0.84,8.25
1.8,19.8
0.71,0.5
1.67,5.2
1.51,2.1
2.377,5.28789847
2.451,23.25579681
1.695,4.65807623
12.621334,2440.9344
2.65,37.1
4.32,79.4
10.76064,201.18639
8.594,48.30991786
12.419572,1678.1424
8.4493,105.833
1.93,12.1
1.87,11.8
11.8739,483.0
9.180171,158.915
2.213,5.0
5.02,48.6
11.99363,1868.8404
3.87,17.0
10.16,321.00669107
14.68,778.65
3.08,82.6
11.94877343,1322.16617312
2.03,4.47
2.05,5.42
9.96,1462.0106722
2.587,3.49494179
2.56,23.0
2.47,15.2
2.9,2.0
8.73,14.7
2.0,6.9
5.22,18.4
6.63,15.7
2.23,35.7
1.95,8.8
0.853,2.4
2.4,22.7
2.209,20.3
1.23,5.3
0.802,2.02
0.868,2.11
2.007,9.51297537
3.07,16.1
2.492,12.94676483
0.868,3.08
0.952,1.4
2.09,749.9
1.22,33.9
1.639,5.08
2.45,18.3
2.34,23.6
2.51,19.1
2.38,36.0
2.68,15.1
2.99,7.4
2.6,12.4
3.8,5.9
4.6,4.8
1.56,24.0
2.29,45.2
1.9,254.3
3.005,7.81
2.2,17.6
2.2,35.4
2.13,24.1
5.6,169.7
2.0,13.5
2.348,11.14
2.8,508.5
2.28,102.3
2.32,15.2
2.38,225.6
3.31,21.6
2.71,9.6
5.2,24.6
2.09,3.2
3.6,120.77
3.11,7.48
2.11,37.9
4.0,2895.31
4.9,4385.87
1.31,78.0
1.63,97.8
2.83,25.2
2.74,18.4
2.92,87.3
3.36,39.6
4.3,49.4
3.1,37.5
3.6,479.9
1.857,2.06
2.46,61.0
3.1,56.2
2.49,3.7
11.59,132.0
3.03,5.33
2.55,5.0
3.14,4.0
3.24,48.5
7.39,42.1
3.9,11.3
14.3,2892.253
8.8,23.1
3.6,10.5
3.3,6.0
2.76,6.2
2.43,7.44
2.7,3.9
5.3,1493.7
3.9,2161.244
2.1,7.0
2.08,109.8
2.25,9.4
2.02,7.7
1.381,3.9
1.57,6.8
3.03,44.6
2.79,17.4
2.41,6.9
1.18,20.3
2.3,28.5
5.4,39.4
2.6,0.39
4.98,11.7
3.74,12.8
4.15,25.2
1.61,28.2
2.43,30.6
1.56,8.5
1.16,7.3
1.18,14.7
8.564,69.92
0.8,0.5
1.3,2.2
1.86,94.5
8.16,40.363
2.53,7.2
2.28,14.8
3.03,4.8
3.16,11.1
4.8,2.9
4.6,2.7
1.5,3.9
3.679,7.13
2.41,66.4
0.32,10.0
0.75,12.0
1.94,12.2
4.3,122.0
2.79,12.8
3.1,13.2
13.68,5720.7
3.5,75.5
5.3,17.9
4.002,24.472
14.23543,673.7996
1.451,5.33198229
0.85,2.71
1.161,1.6690511
0.82,5.0
1.199,6.0
11.65736,177.9848
2.401,25.6
4.421,26.4
3.319,15.2
15.031269,299.07803
4.347,67.0
1.71,3.5
3.01,29.9
1.21,119.9
2.48,58.2
2.31,11.0
13.4508,349.613
10.8,794.5
12.89035,155.7367
13.361,189.101
9.97601,341.98508
10.962,79.45
12.22,108.06
13.78707,92.80636
12.11,403.63
13.45,1026.55
12.834305,182.75225
16.25,896.24
12.66617,947.1334
22.30591,270.1555
13.9,324.17
0.5,0.2
0.5,0.1
18.49,435.41
11.197791,158.915
6.0834,19.4
2.5958,12.5
0.9408,17.6
6.204,16.0
2.37,5.4
9.07929,281.27955
3.0,53.9
4.0,6.0
3.05,2.07
4.62,8899.0
7.04,19.02
1.855,6.60915581
2.56,11.09227817
2.04,7.93
2.579,9.77
2.444,8.38
16.040079,675.70658
1.542,4.02572362
1.825,10.20332706
1.284,5.69692195
7.1,2.1
6.4,3.9
11.8,6.2
2.52,79.6
1.84,45.4
2.84,103.1
3.12,35.5
2.215,12.9
8.373123,308.2951
1.856,3.09
1.688,2.1
3.1,11.0
2.58,43.0
2.35,69.8
4.74139884,116.00736855
11.57887706,2129.4503269
5.1,32.0
9.8,181.0
2.37,118.1
1.55,9.1
2.78,35.5
2.86,53.0
3.708,17.4
1.009,3.3
14.616536,212.31044
2.2,23.1
1.8,2.0
2.511,4.4
1.31,9.0
0.54,4.0
1.95,14.0
1.61,36.0
1.41,35.0
6.11,120.0
12.77826,321.0083
1.444,2.4
2.61,26.6
1.78,4.24829257
2.33,5.97
0.953,4.8
16.567,137.615
10.76064,191.96932
11.77,3209.9
15.24424,638.8383
10.76064,165.90726
1.16,8.0
3.338,12.5
2.05,13.7
7.16,6.0
3.49,4.1
15.906,191.643
2.67,6.93
2.507,3.49
1.3,3.7
1.3,2.1
1.05,0.065
2.8,17.2
2.7,4.3
4.07,12.15
5.28,18.4
2.71,42.1
2.33,11.4
2.13,24.6
1.95,40.0
2.06,20.2
8.08167508,298.75870258
1.778,1.84
2.14,20.9
1.2,0.6
13.49,324.2
6.14,6.4
9.438,80.09
8.106,27.28726784
1.507,8.41466053
15.69,209.76
3.51,64.3
2.6,6.1
2.062,11.8666806
1.478,4.02
3.51,10.84
3.115,10.22179722
2.67,8.46
1.48,3.51
1.87,2.07243356
1.812,3.81256654
1.39,4.6
0.85,0.4
1.34,2.42
1.521,1.94
1.727,6.98
1.272,1.91
1.242,2.33
0.696,0.35
0.982,1.4
1.088,8.7
4.7,30.8
2.438,7.1
1.032,0.9
1.32,13.2
1.367,25.3
1.38,2.2
1.6,1.0
1.332,2.62
2.42,6.29
4.72,29.32
9.976,257.431
16.8135,1175.971
17.14977,985.273
14.90797,258.07796
13.506845,687.14846
9.157753,109.33352
11.747032,66.10864
12.800678,1538.2972
4.976796,29.24036
12.32987877,238.68913366
14.57167491,211.99154747
13.89913607,242.82090295
13.56286665,129.99181846
17.878355,235.1942
11.99360935,947.12865286
14.90794433,750.07504052
14.20177855,194.82881349
13.60770257,165.27077164
11.46678726,203.09235207
14.88552637,92.80589484
15.64773706,188.47224535
16.58932,756.4354
10.40193409,305.11527072
18.38272835,1153.71711741
3.18,20.6
12.733424,72.78307
14.863134,425.57437
12.21781,295.5819
11.99363,921.707
12.77826,200.2329
10.87273,165.2716
12.10572,429.0705
16.03,378.2
12.666,320.995
14.145758,216.1244
19.436406,448.1403
18.091326,1379.3822
14.5717,2542.64
22.86636,635.66
6.18,169.0
9.33708092,87.08498352
10.548,734.16
13.22662,419.85343
17.295487,233.92288
14.056,792.635
12.285064,1369.8473
12.722215,1938.763
12.408363,1373.0256
11.903958,212.31044
19.0553,597.5204
14.403565,117.91493
11.309881,378.2177
14.01125,1906.98
12.666,3082.82
9.079,1207.7
7.22979255,147.15455244
11.27,981.3
12.520453,617.22586
13.29385111,1582.78546686
16.70138124,212.94503269
11.2089807,1951.46641898
6.21,19.2
12.18416202,1379.37528638
13.31626907,1017.0509024
11.5004142,4049.13390518
2.87,16.9
2.265,10.15
2.587,13.5
2.651,2.5
1.791,9.95
14.57167491,1064.72516345
3.56,19.28
16.8135,309.56642
9.02,51.42
1.9,31.0
2.76948277,7.6
4.62115423,12.3
2.5456702,24.0
3.73591482,32.0
2.53,12.2
9.01941098,28.3
2.5064654,32.0
3.03617429,10.0
17.02644168,374.71969185
2.40974309,6.8
8.71664516,120.0
10.5140239,75.96098927
2.415,6.28
2.91,1112.3994245
3.65,15.4
1.69,6.69
2.37611439,6.6
3.01,8.1
2.51,8.8
3.43139739,5.4
3.5141875,14.5
6.8084859,27.4
3.2710301,11.9
2.726,9.5
2.759,6.63
2.93,13.6
11.45557828,140.16232749
2.34,8.6
2.82,11.8
3.12,11.84
2.52,4.46
1.673,6.4
9.1,96.4
2.40144286,6.4
4.14,24.6
11.09689089,70.55790635
12.21778896,5879.8255295
2.66146528,10.6
4.96846551,44.1
10.12369881,63.9
15.69257298,451.31633794
14.11645916,95.3
9.42675277,113.14691289
3.42,22.4
15.647764,753.2571
7.661,11.3
1.81434694,12.2
1.6,6.4
6.2163865,45.8
16.81347105,537.13000783
2.22,7.6
3.10083009,12.5
1.19880592,2.0
1.62,3.48
11.89,25.1
3.96,9.0
16.70138124,991.62462984
2.43471042,10.4
4.2427861,38.5
2.30381001,30.0
1.397,3.87
2.749,19.5
1.13,1.258
2.61143902,15.2
1.672,4.82
1.173,2.32
2.224,2.95
1.6759955,9.0
1.28,3.21
2.064,6.64
2.18,7.32
2.47,7.24
4.15964583,16.5
11.88154,270.47333
14.067295,797.7533
15.24421375,1004.33776612
21.01683881,731.0053361
14.414774,375.0394
14.19902343,387.0
16.690201,387.7526
1.79,4.91
2.2963977,13.0
2.06,41.31769291
11.06326395,200.23189641
1.7,3.09
12.172974,251.40353
3.56505068,14.6
5.44,26.1
2.03,5.5
3.09,48.8
5.34,28.3
10.816685,1722.6386
3.29206019,10.4
5.05,26.78
2.44,12.8
2.36507598,9.7
1.39,57.0
2.12,14.0
2.52,15.0
2.9507845,19.5
2.47852533,16.6
3.5573684,6.9
3.12029598,15.0
8.04728896,96.0
1.21612741,1.4
1.152,1.5
1.669,4.77
2.572,3.01
2.207,3.86
2.287,7.72
2.87,3.94
16.14093221,222.4798849
3.29701268,8.7
2.38506569,6.5
1.39939037,5.6
1.42238884,4.0
2.079,5.738
1.37,2.57
6.9559,46.1687
11.14172682,308.9292116
12.778238,731.0053361
7.5406241,67.4
2.7438269,16.0
8.56366125,29.24021344
2.59987579,8.0
11.65733993,68.0152791
3.46,73.2
18.49481816,360.09958513
9.39553231,129.0
11.09689089,212.94503269
13.97759893,638.83509807
9.07927437,54.03082919
13.67495645,7024.0077947
2.7,11.0
8.14,81.7
11.298672,133.4886
11.81426566,408.7273314
3.309,9.2
2.268,9.2
5.33275337,34.4
12.52043144,1398.4449908
16.14093221,731.0053361
2.77062554,16.1
3.69441587,55.0
3.43087751,29.0
3.6831179,37.0
1.25,4.1
1.33,7.4
13.57407563,263.79757781
15.098497,1595.49860314
2.122,6.8
2.08874836,4.5
2.69,9.13
7.27,41.89
2.2,4.7
3.05,24.0
12.41899699,1767.0
14.35870428,899.45439181
16.28664896,292.40213444
10.76062147,260.61929374
11.29,200.0
7.69,30.0
11.32107051,875.61726129
11.39953337,206.58846455
19.83989584,298.75870258
3.51,26.0
3.03,13.8
11.32107051,310.83618205
11.1529358,203.41018048
14.36991326,502.16888306
1.74,19.5
16.47720163,278.09985612
9.97599282,50.85254512
10.08808263,508.5254512
11.2089807,1900.61387386
8.60849718,71.51139158
10.83908434,206.58846455
10.42435205,2955.8041851
6.81,56.64
11.72459381,1830.69162432
1.402,3.4
2.18,6.7
11.48920522,624.85064816
2.86,15.6
9.86390302,953.485221
15.02003414,294.62693329
10.36830715,105.83685953
1.52,2.68
2.363,4.8
9.60609646,124.90656395
2.83,13.31
12.1393261,766.60211768
11.14172682,1531.93292174
6.06,34.62
2.74,317.83
11.2089807,203.41018048
8.67575106,26.69758619
10.13291855,208.8132634
11.54525012,743.71847238
11.25381662,415.40172795
10.92875618,63.88350981
7.16253867,43.86032017
13.64132951,260.61929374
17.37392009,200.23189641
14.4595851,79.45710175
12.07207221,69.28659273
12.10569916,1112.3994245
1.47291596,3.3
18.10250383,122.6817651
19.72780603,193.87532827
2.77,8.8
1.206,1.58
2.355,6.15
2.133,4.78
13.72,228.0
17.26183028,139.84449908
18.11371281,309.88269682
15.27784069,225.65816897
12.84549188,117.59651059
1.42,4.53
1.88,3.72
13.15934334,533.95172376
13.4,638.0
16.43236571,197.05361234
7.16,68.2
11.39953337,211.35589065
3.82,30.3
4.94057819,40.4
3.2,57.2
15.55806521,176.07693748
12.97999965,721.47048389
12.80065596,1598.3590588
12.22899794,530.77343969
3.22,8.97
23.53885947,375.03752026
5.3,26.4
8.29464572,82.63538582
13.08088048,311.47183886
12.59889431,324.18497514
11.32107051,222.4798849
12.0,85.3
5.14,14.95
18.49481816,330.54154328
13.13692538,352.78953177
10.87271128,187.51876013
6.43,32.59
15.22179579,270.15414595
14.28024141,129.03833324
12.31866979,1233.17421916
12.27383387,55.61997123
7.9,44.0
3.02,11.0
5.93,20.31
6.18,38.15
1.32,2.08
2.08,6.57
13.04725353,232.01473711
1.362,13.71
2.328,9.72
12.28504285,731.0053361
13.57407563,457.67290608
13.30506009,136.66621501
16.11851425,365.50266805
12.66614819,816.81900599
2.68,7.17
5.09,14.1
1.28,3.07
3.29,9.9
16.81347105,143.02278315
15.10970598,304.1617855
16.69017226,353.74301699
11.2089807,95.3485221
2.52,5.4
13.26022417,252.35575516
11.09689089,1197.32317485
12.17,637.0
11.85910158,473.56432643
12.53,732.0
10.53644186,168.44905571
6.8,959.84178914
9.42,2946.26933289
11.67975789,4096.80816623
3.2,123.0
8.18255591,1229.99593509
12.44196858,734.18362017
2.85372018,20.8
11.09691,486.2799
8.47398941,212.94503269
12.87,227.0
8.54124329,88.99195396
1.166,1.42
6.25,32.7
10.76062147,642.01338214
3.48935569,16.14568308
6.6,32.0
11.98240037,921.7023803
1.54,3.57
11.88151954,1036.12060682
11.54525012,147.15455244
11.6,343.0
9.86,657.0
12.778238,743.71847238
11.9,170.4
9.30345398,127.1313628
13.5292397,1080.6165838
5.82,61.5
10.60369574,130.94530368
10.3,58.7
3.52,11.8
2.018,2.89
11.30986153,419.53349724
12.17295304,1147.36054927
12.22899794,1910.14872607
1.45,3.2
2.91,5.39
10.78,624.0
10.42,588.0
11.43318,464.98529
4.91,20.0
10.3,124.0
1.09,4.3
8.54,73.0
1.03,4.0
13.67495645,371.85923619
14.39233122,519.64944544
11.92,254.0
6.41,78.5
14.3474953,333.71982735
18.97680433,138.25535705
9.2362001,96.30200732
1.079,1.44
11.88154,2011.8639
11.29,331.0
19.2794468,181.16219199
10.98480109,235.19302118
2.27,4.45
2.26,3.65
1.92,5.2
5.09,61.0
2.6,9.8
5.25,23.6
13.11453,392.83788
11.43316031,114.41822652
1.992,5.72
2.5,10.5
8.33948164,79.77493016
2.28,9.79
2.63,9.32
1.798,5.0
2.047,6.9
15.4,878.0
2.734,19.1
1.93,9.67
2.94,7.6
2.62,23.5
2.926,18.467
1.704,4.53
2.587,9.6
8.63093,381.396
3.64,41.8
14.06727078,349.6112477
11.99363,301.9385
13.125739,211.99261
3.186,16.137
4.242,16.0
4.793,37.0
9.550068,55.30242
2.765,9.1
1.116,1.374
1.097,1.308
0.788,0.388
0.91,0.772
1.045,0.68
1.127,1.34
0.773,0.331
12.3299,1906.98
12.66617,266.9772
13.67498,380.76034
14.68379,603.55917
20.602142,158.27934
13.484427,573.36532
9.72939525,203.41018048
5.15613112,76.27881768
6.43395492,98.52680617
8.23860081,368.68095212
14.57167491,3813.940884
16.634156,273.3338
12.3,1017.0
18.94321,638.8383
15.80469,157.96151
14.90794433,197.68926915
17.127,473.547
12.744633,403.00844
10.76064,572.094
12.10569916,613.40882551
10.626132,38.1396
10.20019,168.4499
13.87671811,162.09248757
15.793481,150.96925
15.008851,562.24127
13.67495645,203.41018048
11.88154,95.349
15.625346,165.2716
15.6926,390.9309
20.84874,638.8383
16.510857,1541.4755
20.904785,375.99289
14.773462,285.72917
13.89916,190.698
10.76064,88.9924
15.35633,57.2094
10.42437,317.83
13.67498,114.4188
9.97601,390.9309
13.74221034,86.76715511
10.09929161,136.0305582
1.85,37.35
13.56289,368.6828
14.5717,603.877
15.46839337,479.92089457
12.21781,387.7526
8.9672,37.18611
14.36,2333.0
16.14096,775.5052
13.56289,854.9627
17.14977,266.9772
9.52765,139.8452
10.0881,282.8687
12.498035,87.40325
8.47398941,91.21675281
15.24421375,314.96795134
16.01,172.0
11.99363,2688.8418
13.30506009,100.43377661
17.37395,123.9537
10.76062147,198.96058278
13.45077684,276.8285425
6.02802815,41.8
11.937585,182.43442
11.99363,886.7457
15.46842,174.8065
11.298672,288.58964
12.21781,88.35674
12.811887,791.3967
11.209,1652.716
13.473218,594.3421
12.643752,676.9779
14.12334,209.13214
7.06167,32.10083
17.71022,2542.64
16.8135,133.4886
14.616536,178.30263
19.5,156.0
12.285064,508.528
10.98482,344.52772
17.5980997,149.37935129
14.403565,1102.8701
16.10730527,104.88337431
13.540472,314.6517
16.869545,271.74465
17.71022,161.45764
21.74546,448.1403
12.397154,3241.866
13.89916,286.047
13.271456,95.03117
9.52765,47.03884
16.47723,159.55066
14.90797,181.1631
14.01125,311.4734
12.44199,1341.2426
18.38276,254.264
14.81827249,458.6263913
18.14733975,632.47852993
15.423584,370.27195
12.89035,317.83
13.78707,731.009
16.40994774,44.17814857
15.47960235,373.13054982
10.31226224,33.05415433
14.44837612,403.32424848
12.072093,275.24078
16.388,98.841
12.89035,92.1707
13.78707,212.9461
10.783,280.95
15.46842,394.1092
13.67498,182.43442
14.359,326.715
14.01125,294.62841
8.878,77.547
15.524,559.36
17.228233,151.92274
12.3299,1109.2267
17.855937,665.21819
13.675,187.51
14.79588,222.79883
14.358729,726.55938
13.002,572.07
12.21781,841.61384
14.336311,89.31023
14.90797,386.48128
12.3299,270.1555
12.106,158.908
11.276254,635.02434
12.77826,279.05474
10.603714,306.38812
13.159366,603.877
12.89,362.311
3.567,14.2
1.83,9.0
15.65,288.0
13.428382,126.81417
13.125739,520.28771
12.924,466.555
14.23543,145.88397
12.038466,677.61356
17.71022,187.5197
14.5717,181.48093
10.53646,143.0235
11.76945,204.68252
15.35633,285.72917
8.68696004,274.28591524
11.54527,117.5971
9.63974,160.50415
13.56289,654.7298
14.79588,165.2716
14.90797,107.74437
14.247,403.945
12.464408,489.4582
15.58051,737.3656
15.6926,133.4886
13.9,301.93
12.44199,92.1707
15.277867,344.20989
13.047,187.512
16.36514,706.21826
14.24,491.3763
13.002,597.5
17.48604,301.9385
14.23543,341.03159
20.51247,292.4036
13.56289,560.33429
23.09054,273.3338
18.71903,270.1555
11.635,713.18
11.197791,170.99254
16.017661,231.69807
18.15858,371.8611
11.65736,95.349
10.72,220.0
1.95,15.2
13.89916,402.05495
15.524465,692.8694
19.0553,181.1631
11.65736,1875.197
18.27067,200.2329
11.54527,425.8922
16.376349,255.85315
17.900773,467.2101
19.27948,144.93048
13.56,359.13
13.4508,155.7367
12.66617,420.48909
12.3299,269.51984
11.43318,772.3269
10.4,4386.054
10.468,6992.0
16.7,1274.44
15.277867,403.6441
11.5609626,188.15536
12.9934728,232.33373
1.24,2.53
2.043,6.27
